,device_branch,device_province,device_name,device_ip,device_serial_number,start_ma_date,end_ma_date,start_license_date,end_license_date,end_sw_support_date,end_hw_support_date,start_used_date,user_created
606,89LH,89LH,10.39.132.190,10.39.132.190,KWC19400094,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
607,89LH,89LH,10.39.132.189,10.39.132.189,KWC19400096,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
608,89LH,89LH,10.39.132.187,10.39.132.187,KWC1940008S,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
609,89LH,89LH,10.39.132.186,10.39.132.186,KWC1940008B,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
610,89LH,89LH,10.39.132.185,10.39.132.185,KWC1940007V,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
611,89LH,89LH,10.39.132.183,10.39.132.183,KWC1940007P,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
612,89LH,89LH,10.39.132.188,10.39.132.188,KWC1940008H,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
613,89LH,89LH,10.39.132.181,10.39.132.181,KWC1940007M,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
614,89LH,89LH,10.39.132.184,10.39.132.184,KWC1940008G,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
615,89LH,89LH,10.39.132.182,10.39.132.182,KWC19400097,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
616,89LH,89LH,10.39.132.177,10.39.132.177,KWC194000AK,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
617,89LH,89LH,10.39.132.174,10.39.132.174,KWC194000AS,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
618,89LH,89LH,10.39.132.180,10.39.132.180,KWC1940000W,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
619,89LH,89LH,10.39.132.173,10.39.132.173,KWC19400084,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
620,89LH,89LH,10.39.132.175,10.39.132.175,KWC19400087,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
621,89LH,89LH,10.39.132.179,10.39.132.179,KWC1940009G,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
622,89LH,89LH,10.39.132.178,10.39.132.178,KWC1940009F,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
623,89LH,89LH,10.39.132.176,10.39.132.176,KWC1940007W,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
624,89LH,89LH,10.39.132.169,10.39.132.169,KWC19400082,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
625,89LH,89LH,10.39.132.171,10.39.132.171,KWC194000E6,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
626,89LH,89LH,10.39.132.172,10.39.132.172,KWC194000AO,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
627,89LH,89LH,10.39.132.197,10.39.132.197,KWC194000NI,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
628,89LH,89LH,10.39.132.170,10.39.132.170,KWC194000AA,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
629,89LH,89LH,10.39.132.168,10.39.132.168,KWC1940007Q,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
630,89LH,89LH,10.39.132.167,10.39.132.167,KWC194000O9,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
631,89LH,89LH,10.39.132.98,10.39.132.98,KWC1940007S,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
632,89LH,89LH,10.39.132.99,10.39.132.99,KWC194000BI,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
633,89LH,89LH,10.39.132.157,10.39.132.157,KWC194000AT,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
634,89LH,89LH,10.39.132.158,10.39.132.158,KWC1940009Y,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
635,89LH,89LH,10.39.132.161,10.39.132.161,KWC194000B1,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
636,89LH,89LH,10.39.132.159,10.39.132.159,KWC1940007Y,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
637,89LH,89LH,10.39.132.149,10.39.132.149,KWC194000E1,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
638,89LH,89LH,10.39.132.150,10.39.132.150,KWC194000B3,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
639,89LH,89LH,10.39.132.151,10.39.132.151,KWC1940009I,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
640,89LH,89LH,10.39.132.154,10.39.132.154,KWC194000E2,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
641,89LH,89LH,10.39.132.155,10.39.132.155,KWC19310766,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
642,89LH,89LH,10.39.132.152,10.39.132.152,KWC194000AN,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
643,89LH,89LH,10.39.132.156,10.39.132.156,KWC194000FI,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
644,89LH,89LH,10.39.132.153,10.39.132.153,KWC194000BN,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
645,89LH,89LH,10.39.132.143,10.39.132.143,KWC19400083,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
646,89LH,89LH,10.39.132.141,10.39.132.141,KWC1940008O,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
647,89LH,89LH,10.39.132.148,10.39.132.148,KWC19400091,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
648,89LH,89LH,10.39.132.145,10.39.132.145,KWC19400027,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
649,89LH,89LH,10.39.132.146,10.39.132.146,KWC1940009A,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
650,89LH,89LH,10.39.132.142,10.39.132.142,KWC1940008T,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
651,89LH,89LH,10.39.132.144,10.39.132.144,KWC1931075W,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
652,89LH,89LH,10.39.132.147,10.39.132.147,KWC194000BE,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
653,89LH,89LH,10.39.132.139,10.39.132.139,KWC19400093,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
654,89LH,89LH,10.39.132.136,10.39.132.136,KWC194000AP,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
655,89LH,89LH,10.39.132.133,10.39.132.133,KWC1940009J,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
656,89LH,89LH,10.39.132.137,10.39.132.137,KWC194000AW,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
657,89LH,89LH,10.39.132.135,10.39.132.135,KWC194000AU,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
658,89LH,89LH,10.39.132.140,10.39.132.140,KWC1940008C,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
659,89LH,89LH,10.39.132.134,10.39.132.134,KWC194000AH,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
660,89LH,89LH,10.39.132.138,10.39.132.138,KWC1940009K,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
661,89LH,89LH,10.39.132.127,10.39.132.127,KWC1940007R,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
662,89LH,89LH,10.39.132.129,10.39.132.129,KWC194000A7,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
663,89LH,89LH,10.39.132.130,10.39.132.130,KWC1940007X,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
664,89LH,89LH,10.39.132.126,10.39.132.126,KWC1940008A,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
665,89LH,89LH,10.39.132.125,10.39.132.125,KWC194000C8,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
666,89LH,89LH,10.39.132.120,10.39.132.120,KWC19400095,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
667,89LH,89LH,10.39.132.118,10.39.132.118,KWC194000NH,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
668,89LH,89LH,10.39.132.119,10.39.132.119,KWC194000AM,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
669,89LH,89LH,10.39.132.121,10.39.132.121,KWC19400138,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
670,89LH,89LH,10.39.132.117,10.39.132.117,KWC19400081,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
671,89LH,89LH,10.39.132.123,10.39.132.123,KWC1940008K,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
672,89LH,89LH,10.39.132.124,10.39.132.124,KWC19400085,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
673,89LH,89LH,10.39.132.122,10.39.132.122,KWC194000NG,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
674,89LH,89LH,10.39.132.113,10.39.132.113,KWC194000AQ,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
675,89LH,89LH,10.39.132.114,10.39.132.114,KWC1940007U,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
676,89LH,89LH,10.39.132.115,10.39.132.115,KWC19400080,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
677,89LH,89LH,10.39.132.109,10.39.132.109,KWC194000BA,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
678,89LH,89LH,10.39.132.112,10.39.132.112,KWC194000E4,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
679,89LH,89LH,10.39.132.111,10.39.132.111,KWC194000DY,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
680,89LH,89LH,10.39.132.116,10.39.132.116,KWC1940009C,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
681,89LH,89LH,10.39.132.107,10.39.132.107,KWC194000GE,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
682,89LH,89LH,10.39.132.101,10.39.132.101,KWC194000DZ,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
683,89LH,89LH,10.39.132.106,10.39.132.106,KWC194000NF,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
684,89LH,89LH,10.39.132.104,10.39.132.104,KWC194000E7,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
685,89LH,89LH,10.39.132.102,10.39.132.102,KWC194000AJ,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
686,89LH,89LH,10.39.132.103,10.39.132.103,KWC19400089,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
687,89LH,89LH,10.39.132.108,10.39.132.108,KWC194000NE,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
688,89LH,89LH,10.39.132.105,10.39.132.105,KWC19400088,2023-06-01,2024-05-31,None,None,2023-05-01,2027-04-30,None,admin
689,VietHai,VietHai,10.39.7.253,10.39.7.253,FGL2604LST3,None,2025-09-26,None,None,2025-08-31,2028-11-30,None,admin
690,VietHai,VietHai,10.39.7.252,10.39.7.252,FGL2604LSSC,None,2025-09-26,None,None,2025-08-31,2028-11-30,None,admin
691,VietHai,VietHai,10.39.7.2,10.39.7.2,1948BA3192,None,2023-05-31,None,None,2025-07-31,2025-12-31,None,admin
692,VietHai,VietHai,10.39.7.3,10.39.7.3,1948BA3176,None,2023-05-31,None,None,2025-07-31,2025-12-31,None,admin
693,VietHai,VietHai,10.39.7.99,10.39.7.99,FGL171321NL,None,2023-05-31,None,None,2022-09-12,2022-12-31,None,admin
694,VietHai,VietHai,10.39.90.133,10.39.90.133,FOC2721Y220,None,None,None,None,None,None,None,admin
695,VietHai,VietHai,10.39.10.151,10.39.10.151,PSZ21271BGS,None,2023-05-31,None,None,2019-04-18,2023-04-30,None,admin
696,VietHai,VietHai,10.39.10.152,10.39.10.152,PSZ21231KDY,None,2023-05-31,None,None,2019-04-18,2023-04-30,None,admin
697,VietHai,VietHai,10.39.90.3,10.39.90.3,FOC2126Z3GW,None,None,None,None,2025-04-30,2029-04-30,None,admin
698,VietHai,VietHai,10.39.90.8,10.39.90.8,FCW2051A3GH,None,None,None,None,2015-10-31,2019-10-31,None,admin
699,VietHai,VietHai,10.39.90.6,10.39.90.6,FCQ1644X2DD,None,None,None,None,2015-10-31,2019-10-31,None,admin
700,VietHai,VietHai,10.39.90.7,10.39.90.7,FCQ1712Y3LK,None,None,None,None,2015-10-31,2019-10-31,None,admin
701,VietHai,VietHai,10.39.90.5,10.39.90.5,FCQ1712Y3KT,None,None,None,None,2015-10-31,2019-10-31,None,admin
702,VietHai,VietHai,10.39.90.116,10.39.90.116,FOC2126Z3H9,None,None,None,None,2025-04-30,2029-04-30,None,admin
703,VietHai,VietHai,10.39.90.13,10.39.90.13,FCW2051A3CS,None,None,None,None,2022-10-31,2026-10-31,None,admin
704,VietHai,VietHai,10.39.90.9,10.39.90.9,FCW2051A3FA,None,None,None,None,2022-10-31,2026-10-31,None,admin
705,VietHai,VietHai,10.39.90.11,10.39.90.11,FOC1046ZBM5,None,None,None,None,2015-10-31,2019-10-31,None,admin
706,VietHai,VietHai,10.39.90.10,10.39.90.10,FOC2126Z3GC,None,None,None,None,2025-04-30,2029-04-30,None,admin
707,VietHai,VietHai,10.39.90.18,10.39.90.18,FCQ1541X53K,None,None,None,None,2015-10-31,2019-10-31,None,admin
708,VietHai,VietHai,10.39.90.17,10.39.90.17,FCQ1712Y3JR,None,None,None,None,2022-10-31,2026-10-31,None,admin
709,VietHai,VietHai,10.39.90.19,10.39.90.19,FCQ1644X3PT,None,None,None,None,2015-10-31,2019-10-31,None,admin
710,VietHai,VietHai,10.39.90.16,10.39.90.16,FCQ1712Y3HT,None,None,None,None,2015-10-31,2019-10-31,None,admin
711,VietHai,VietHai,10.39.90.14,10.39.90.14,FCW2051A37A,None,None,None,None,2022-10-31,2026-10-31,None,admin
712,VietHai,VietHai,10.39.90.20,10.39.90.20,FOC1127W3J2,None,None,None,None,2015-10-31,2019-10-31,None,admin
713,VietHai,VietHai,10.39.90.21,10.39.90.21,FCW1752A533,None,None,None,None,2015-10-31,2019-10-31,None,admin
714,VietHai,VietHai,10.39.90.15,10.39.90.15,FOC2126Z3HX,None,None,None,None,2025-04-30,2029-04-30,None,admin
715,VietHai,VietHai,10.39.90.32,10.39.90.32,FOC26284LDE,None,2025-09-26,None,None,None,None,None,admin
716,VietHai,VietHai,10.39.90.25,10.39.90.25,FDO1840R120,None,None,None,None,2017-10-30,2021-10-31,None,admin
717,VietHai,VietHai,10.39.90.31,10.39.90.31,FOC26284M2P,None,2025-09-26,None,None,None,None,None,admin
718,VietHai,VietHai,10.39.90.29,10.39.90.29,FOC26284M2C,None,2025-09-26,None,None,None,None,None,admin
719,VietHai,VietHai,10.39.90.30,10.39.90.30,FOC26297CEN,None,2025-09-26,None,None,None,None,None,admin
720,VietHai,VietHai,10.39.90.27,10.39.90.27,FOC26284LEJ,None,2025-09-26,None,None,None,None,None,admin
721,VietHai,VietHai,10.39.90.28,10.39.90.28,FOC26284LD3,None,2025-09-26,None,None,None,None,None,admin
722,VietHai,VietHai,10.39.90.26,10.39.90.26,FOC26284M0P,None,2025-09-26,None,None,None,None,None,admin
723,VietHai,VietHai,10.39.90.23,10.39.90.23,FCQ1712Y3KE,None,None,None,None,2015-10-31,2019-10-31,None,admin
724,VietHai,VietHai,10.39.90.22,10.39.90.22,FCQ1741X2XX,None,None,None,None,2015-10-31,2019-10-31,None,admin
725,VietHai,VietHai,10.39.90.57,10.39.90.57,FCQ1731X3PH,None,None,None,None,2015-10-31,2019-10-31,None,admin
726,VietHai,VietHai,10.39.90.24,10.39.90.24,FOC1644Z5KG,None,None,None,None,2016-05-11,2020-11-30,None,admin
727,VietHai,VietHai,10.39.90.58,10.39.90.58,FOC2031Z1JK,None,None,None,None,2022-10-31,2026-10-31,None,admin
728,VietHai,VietHai,10.39.90.42,10.39.90.42,FOC1912S0GH,None,None,None,None,2023-10-31,2027-10-31,None,admin
729,VietHai,VietHai,10.39.90.40,10.39.90.40,FCW1828A5NC,None,None,None,None,2022-10-31,2026-10-31,None,admin
