,device_branch,device_province,device_name,device_ip,device_serial_number,start_ma_date,end_ma_date,start_license_date,end_license_date,end_sw_support_date,end_hw_support_date,start_used_date,user_created
730,VietHai,VietHai,10.39.90.43,10.39.90.43,FOC1824S0T0,None,None,None,None,2022-10-31,2026-10-31,None,admin
731,VietHai,VietHai,10.39.90.41,10.39.90.41,FCW1837A5H3,None,None,None,None,2022-10-31,2026-10-31,None,admin
732,VietHai,VietHai,10.39.90.44,10.39.90.44,FOC2229T1ZH,None,None,None,None,2023-10-31,2027-10-31,None,admin
733,VietHai,VietHai,10.39.90.38,10.39.90.38,FCW2127A2HB,None,None,None,None,2023-10-31,2027-10-31,None,admin
734,VietHai,VietHai,10.39.90.34,10.39.90.34,FCQ1648X2MU,None,None,None,None,2015-10-31,2019-10-31,None,admin
735,VietHai,VietHai,10.39.90.39,10.39.90.39,FCW2145A1JQ,None,None,None,None,2023-10-31,2027-10-31,None,admin
736,VietHai,VietHai,10.39.90.36,10.39.90.36,FCW2145A1HK,None,None,None,None,2023-10-31,2027-10-31,None,admin
737,VietHai,VietHai,10.39.90.37,10.39.90.37,FCW2145A1KE,None,None,None,None,2023-10-31,2027-10-31,None,admin
738,VietHai,VietHai,10.39.90.35,10.39.90.35,FCW2145A1JJ,None,None,None,None,2023-10-31,2027-10-31,None,admin
739,VietHai,VietHai,10.39.90.71,10.39.90.71,FOC2228T2LE,None,None,None,None,2023-10-31,2027-10-31,None,admin
740,VietHai,VietHai,10.39.90.33,10.39.90.33,FOC2126Z3HH,None,None,None,None,2025-04-30,2029-04-30,None,admin
741,VietHai,VietHai,10.39.90.48,10.39.90.48,FCW1935A3SP,None,None,None,None,2022-10-31,2026-10-31,None,admin
742,VietHai,VietHai,10.39.90.49,10.39.90.49,FOC1834S49A,None,None,None,None,2022-10-31,2026-10-31,None,admin
743,VietHai,VietHai,10.39.90.55,10.39.90.55,FCW1837A5CT,None,None,None,None,2022-10-31,2026-10-31,None,admin
744,VietHai,VietHai,10.39.90.56,10.39.90.56,FCW1828A5MM,None,None,None,None,2022-10-31,2026-10-31,None,admin
745,VietHai,VietHai,10.39.90.53,10.39.90.53,FCW1837A5K7,None,None,None,None,2022-10-31,2026-10-31,None,admin
